B1;0;[(1, 157.86198687553406), (2, 133.217059135437), (3, 132.6855902671814), (4, 130.88839030265808), (5, 131.283198595047), (6, 131.07782649993896), (7, 130.14382672309875), (8, 129.08824491500854), (9, 129.96438217163086), (10, 128.52215218544006), (11, 133.6302261352539), (12, 130.15637469291687), (13, 131.5449845790863), (14, 132.66302704811096), (15, 131.5868046283722), (16, 131.6567678451538), (17, 141.33244967460632), (18, 162.30786871910095), (19, 173.20433020591736), (20, 161.6033124923706), (21, 170.54185700416565), (22, 170.78911185264587), (23, 164.69698333740234), (24, 172.07280206680298), (25, 169.72100186347961), (26, 166.46752619743347), (27, 166.0584659576416), (28, 169.62248921394348), (29, 165.79447984695435), (30, 168.7453956604004), (31, 164.74789810180664), (32, 134.31415343284607), (33, 131.46937584877014), (34, 144.32931232452393), (35, 148.417462348938)]
B1;1;[(1, 151.43072199821472), (2, 147.7857985496521), (3, 147.69549870491028), (4, 147.83695602416992), (5, 148.07239151000977), (6, 146.98388004302979), (7, 149.30271530151367), (8, 148.04064345359802), (9, 145.28520393371582), (10, 149.84948754310608), (11, 148.88004684448242), (12, 141.92279863357544), (13, 131.37975120544434), (14, 130.30195116996765), (15, 130.53233170509338), (16, 129.6888370513916), (17, 129.78550672531128), (18, 129.8059320449829), (19, 130.65680384635925), (20, 129.50357675552368), (21, 129.34986925125122), (22, 128.26822543144226)]
B1;2;[(1, 134.75770783424377), (2, 128.33906626701355), (3, 129.4216229915619), (4, 129.2042019367218), (5, 130.36523032188416), (6, 130.7399880886078), (7, 131.0863049030304), (8, 130.08384466171265), (9, 130.6339418888092), (10, 131.15311431884766), (11, 134.59396386146545), (12, 129.57028579711914), (13, 129.82690691947937), (14, 129.89277529716492), (15, 129.48826956748962), (16, 128.7488181591034), (17, 128.94560480117798), (18, 128.88844466209412), (19, 130.31115317344666), (20, 129.10268902778625), (21, 129.00562238693237), (22, 130.133291721344), (23, 129.2497615814209), (24, 129.7213625907898), (25, 129.81640648841858), (26, 128.37448263168335), (27, 130.41657543182373), (28, 129.26480793952942), (29, 128.75766777992249), (30, 128.69923162460327), (31, 127.55770945549011), (32, 129.20479440689087), (33, 128.92063307762146), (34, 129.6189625263214), (35, 129.32141375541687)]
B1;3;[(1, 137.50615739822388), (2, 130.51316618919373), (3, 130.21207642555237), (4, 130.3098747730255), (5, 130.59779405593872), (6, 130.5979723930359), (7, 129.37653231620789), (8, 129.24181485176086), (9, 129.67061686515808), (10, 130.25694918632507), (11, 133.39625000953674), (12, 131.92948269844055), (13, 130.86096906661987), (14, 130.81613421440125), (15, 130.75858998298645), (16, 129.75528931617737), (17, 129.82984256744385), (18, 129.12526988983154), (19, 130.25174641609192), (20, 130.43225574493408), (21, 130.27118229866028), (22, 129.69629907608032), (23, 130.62143206596375), (24, 129.7014741897583), (25, 129.9917254447937)]
B1;4;[(1, 142.06449937820435), (2, 129.72675013542175), (3, 130.17737770080566), (4, 130.82988262176514), (5, 130.8473527431488), (6, 131.78188157081604), (7, 131.84225606918335), (8, 130.07340741157532), (9, 132.53211498260498), (10, 130.07687520980835), (11, 136.56440949440002), (12, 132.40282702445984), (13, 131.8186855316162), (14, 130.76173853874207), (15, 130.47554469108582), (16, 131.8023111820221), (17, 131.81611347198486), (18, 130.74987530708313), (19, 132.84152340888977), (20, 131.1038556098938), (21, 131.22689247131348), (22, 131.28951573371887), (23, 131.3316671848297), (24, 132.02589178085327)]
B2;0;[(1, 144.27881383895874), (2, 138.80206274986267), (3, 138.25443029403687), (4, 140.57648062705994), (5, 139.3078122138977), (6, 138.8901777267456), (7, 134.6721112728119), (8, 136.68173789978027), (9, 136.16949152946472), (10, 136.49782705307007), (11, 140.70514488220215), (12, 135.609144449234), (13, 136.0720570087433), (14, 136.25721192359924), (15, 135.75129055976868), (16, 136.29945302009583), (17, 135.45745468139648), (18, 136.09072756767273), (19, 135.46250367164612), (20, 149.2451364994049), (21, 144.4135036468506), (22, 143.2847511768341), (23, 145.37055683135986), (24, 142.7344868183136), (25, 145.09270095825195), (26, 143.38155794143677), (27, 146.79935884475708), (28, 146.8824281692505), (29, 145.08158421516418), (30, 145.3198001384735), (31, 144.60627627372742), (32, 143.33798170089722)]
B2;1;[(1, 146.12740993499756), (2, 136.2569317817688), (3, 136.03310465812683), (4, 135.63442206382751), (5, 136.7416808605194), (6, 136.26947379112244), (7, 136.45487666130066), (8, 135.58173751831055), (9, 135.98913168907166), (10, 136.241934299469), (11, 140.9266505241394), (12, 136.40890264511108), (13, 135.21656250953674), (14, 136.22761845588684), (15, 135.43402552604675), (16, 135.90262818336487), (17, 135.0591380596161), (18, 135.0080201625824), (19, 135.9464213848114), (20, 135.38023161888123), (21, 135.16199016571045), (22, 136.17355918884277), (23, 136.7029197216034), (24, 136.22482013702393), (25, 135.81616187095642), (26, 134.98270440101624), (27, 135.71174669265747), (28, 136.27664947509766), (29, 136.05232763290405), (30, 135.94628405570984), (31, 136.5290937423706), (32, 135.52631759643555)]
B2;2;[(1, 139.7232015132904), (2, 135.80093789100647), (3, 136.32992339134216), (4, 136.03326058387756), (5, 136.3703258037567), (6, 135.3148694038391), (7, 135.08318328857422), (8, 135.50925874710083), (9, 135.85003924369812), (10, 135.59187412261963), (11, 140.52695894241333), (12, 135.76746129989624), (13, 135.2311532497406), (14, 135.83344149589539), (15, 135.7142264842987), (16, 135.5838119983673), (17, 134.9917905330658), (18, 135.75147438049316), (19, 136.23286533355713), (20, 135.31360054016113), (21, 135.93295097351074), (22, 136.37896132469177), (23, 135.9373004436493), (24, 138.87771010398865), (25, 141.46777033805847), (26, 136.38308024406433), (27, 135.53581476211548), (28, 136.51304173469543), (29, 136.4005103111267)]
B2;3;[(1, 140.54358839988708), (2, 135.78273558616638), (3, 137.12876725196838), (4, 136.7516086101532), (5, 136.02004146575928), (6, 136.33475136756897), (7, 136.17797350883484), (8, 134.6936514377594), (9, 132.85542607307434), (10, 134.2017378807068), (11, 139.0058295726776), (12, 134.76284980773926), (13, 133.91116881370544), (14, 133.801207780838), (15, 133.33487629890442), (16, 134.13701701164246), (17, 134.08567762374878), (18, 134.64838290214539), (19, 134.39288544654846), (20, 134.68269515037537), (21, 133.67937064170837), (22, 134.04770064353943), (23, 134.67629051208496), (24, 134.00059628486633), (25, 134.58847784996033)]
B2;4;[(1, 138.22564721107483), (2, 134.22155356407166), (3, 133.5002887248993), (4, 134.7009813785553), (5, 133.18355751037598), (6, 133.56042742729187), (7, 133.05364990234375), (8, 133.62116622924805), (9, 132.8547112941742), (10, 132.77278304100037), (11, 137.68723225593567), (12, 133.26012206077576), (13, 132.71806573867798), (14, 133.483638048172), (15, 133.28328037261963), (16, 132.98313403129578), (17, 132.68350219726562), (18, 132.29619574546814), (19, 132.9501085281372), (20, 132.62313556671143), (21, 132.36608624458313), (22, 132.54107642173767), (23, 132.1285684108734), (24, 132.52623581886292), (25, 132.52173686027527), (26, 132.8272738456726), (27, 132.1840624809265), (28, 132.8371922969818), (29, 133.03134560585022), (30, 131.5390374660492), (31, 131.66466355323792), (32, 132.0581178665161), (33, 132.70015740394592), (34, 133.14084005355835), (35, 132.8927195072174), (36, 132.59775042533875), (37, 132.37365865707397), (38, 133.10416340827942), (39, 132.83118772506714), (40, 132.44055223464966)]
