Model;Idx;Metrics
A1;0;[('Precision', 0.18646302403426948), ('Recall', 0.32422639086285715), ('F-measure', 0.23451064677040354), ('Average_Overlap_Ratio', 0.7644520538353585), ('Precision_no_offset', 0.3842551820498898), ('Recall_no_offset', 0.6831347007951167), ('F-measure_no_offset', 0.48714840882438465), ('Average_Overlap_Ratio_no_offset', 0.5343815800365682), ('Onset_Precision', 0.4769998575510161), ('Onset_Recall', 0.8464528725334315), ('Onset_F-measure', 0.6042683531543578), ('Offset_Precision', 0.4660297764233004), ('Offset_Recall', 0.8338521391619584), ('Offset_F-measure', 0.591981212161007)]
A1;1;[('Precision', 0.17566449910063484), ('Recall', 0.334536300032229), ('F-measure', 0.22818460189145914), ('Average_Overlap_Ratio', 0.7678566655305237), ('Precision_no_offset', 0.35935297759115925), ('Recall_no_offset', 0.7027692489616478), ('F-measure_no_offset', 0.47119268902355443), ('Average_Overlap_Ratio_no_offset', 0.5307928224467859), ('Onset_Precision', 0.4466904870699275), ('Onset_Recall', 0.8746153467525504), ('Onset_F-measure', 0.5859160573829999), ('Offset_Precision', 0.43744336028144376), ('Offset_Recall', 0.8617504336886358), ('Offset_F-measure', 0.5749276131439713)]
A1;2;[('Precision', 0.18304692556589888), ('Recall', 0.32951188574486745), ('F-measure', 0.23334879415067186), ('Average_Overlap_Ratio', 0.7681034330862805), ('Precision_no_offset', 0.3761724904848579), ('Recall_no_offset', 0.6905492831279834), ('F-measure_no_offset', 0.4829704449481038), ('Average_Overlap_Ratio_no_offset', 0.5337987735685968), ('Onset_Precision', 0.4668989632682259), ('Onset_Recall', 0.857090873230554), ('Onset_F-measure', 0.5994391358368708), ('Offset_Precision', 0.45657218087693785), ('Offset_Recall', 0.8428238278637316), ('Offset_F-measure', 0.5872545224506219)]
A1;3;[('Precision', 0.18603546627792383), ('Recall', 0.327560581617186), ('F-measure', 0.23508356135191108), ('Average_Overlap_Ratio', 0.7673296803746507), ('Precision_no_offset', 0.3840763154307485), ('Recall_no_offset', 0.6928141154455891), ('F-measure_no_offset', 0.4897198071076992), ('Average_Overlap_Ratio_no_offset', 0.5320036493623026), ('Onset_Precision', 0.47467775457916817), ('Onset_Recall', 0.8570303655303955), ('Onset_F-measure', 0.6054458153027468), ('Offset_Precision', 0.46260923139655685), ('Offset_Recall', 0.8413725249726326), ('Offset_F-measure', 0.5915130288625917)]
A1;4;[('Precision', 0.17966240313811183), ('Recall', 0.31981523913448034), ('F-measure', 0.227984173095661), ('Average_Overlap_Ratio', 0.7618219231773403), ('Precision_no_offset', 0.3737033778044131), ('Recall_no_offset', 0.6809519487272322), ('F-measure_no_offset', 0.4782307901087647), ('Average_Overlap_Ratio_no_offset', 0.5278195696262105), ('Onset_Precision', 0.46702755265771956), ('Onset_Recall', 0.8493092058296764), ('Onset_F-measure', 0.5971787842452752), ('Offset_Precision', 0.4579759853060432), ('Offset_Recall', 0.8391351821636176), ('Offset_F-measure', 0.5870310216042391)]
B3;0;[('Precision', 0.19012745389725774), ('Recall', 0.3570924094958539), ('F-measure', 0.2455876217608883), ('Average_Overlap_Ratio', 0.7604171485017321), ('Precision_no_offset', 0.3772872508128779), ('Recall_no_offset', 0.7248012179439196), ('F-measure_no_offset', 0.49123909793402326), ('Average_Overlap_Ratio_no_offset', 0.5259459434115832), ('Onset_Precision', 0.45492802734034365), ('Onset_Recall', 0.873270945421811), ('Onset_F-measure', 0.5921533681260758), ('Offset_Precision', 0.4445179669324162), ('Offset_Recall', 0.8596239934575955), ('Offset_F-measure', 0.579909524481971)]
B3;1;[('Precision', 0.1869143063495786), ('Recall', 0.35563666463292465), ('F-measure', 0.242693274838368), ('Average_Overlap_Ratio', 0.7616769050697233), ('Precision_no_offset', 0.3734355406818787), ('Recall_no_offset', 0.7263199338290677), ('F-measure_no_offset', 0.48865991829162353), ('Average_Overlap_Ratio_no_offset', 0.5248623899432103), ('Onset_Precision', 0.4523240064166302), ('Onset_Recall', 0.8792780170389751), ('Onset_F-measure', 0.5917425953482539), ('Offset_Precision', 0.4415201436217488), ('Offset_Recall', 0.8648271880243856), ('Offset_F-measure', 0.5789656840249999)]
B3;2;[('Precision', 0.18160830302276454), ('Recall', 0.35904527067786457), ('F-measure', 0.23883456606778325), ('Average_Overlap_Ratio', 0.7602553947464084), ('Precision_no_offset', 0.36054919080609504), ('Recall_no_offset', 0.7327400890282832), ('F-measure_no_offset', 0.47852014027171724), ('Average_Overlap_Ratio_no_offset', 0.5217354342193454), ('Onset_Precision', 0.43780026841817726), ('Onset_Recall', 0.889483451953055), ('Onset_F-measure', 0.5809309287303591), ('Offset_Precision', 0.4282514560515977), ('Offset_Recall', 0.8759608532037102), ('Offset_F-measure', 0.5693923771312297)]
B3;3;[('Precision', 0.1942874861153064), ('Recall', 0.347606152586961), ('F-measure', 0.24686685386293403), ('Average_Overlap_Ratio', 0.7638365025831756), ('Precision_no_offset', 0.3914643715493697), ('Recall_no_offset', 0.7174267284777034), ('F-measure_no_offset', 0.5016721998985575), ('Average_Overlap_Ratio_no_offset', 0.5306861837091926), ('Onset_Precision', 0.47099513768153695), ('Onset_Recall', 0.8631706372857331), ('Onset_F-measure', 0.6035450532539479), ('Offset_Precision', 0.459084179275249), ('Offset_Recall', 0.8480890020375225), ('Offset_F-measure', 0.5898012908617641)]
B3;4;[('Precision', 0.1861420245430521), ('Recall', 0.3495837708124873), ('F-measure', 0.2405063471178222), ('Average_Overlap_Ratio', 0.7629219917330563), ('Precision_no_offset', 0.37397868424664543), ('Recall_no_offset', 0.7168666481601422), ('F-measure_no_offset', 0.48662547053030497), ('Average_Overlap_Ratio_no_offset', 0.5354196393457703), ('Onset_Precision', 0.45479797721031723), ('Onset_Recall', 0.8716829381846988), ('Onset_F-measure', 0.5917212585470911), ('Offset_Precision', 0.4429317695877185), ('Offset_Recall', 0.8558233681115561), ('Offset_F-measure', 0.5777231583945922)]
