Model;Idx;Metrics
B1;0;[('Precision', 0.15409407507516443), ('Recall', 0.2736331743850284), ('F-measure', 0.19507056240610002), ('Average_Overlap_Ratio', 0.7781759928968259), ('Precision_no_offset', 0.3757981346146357), ('Recall_no_offset', 0.6838681873805298), ('F-measure_no_offset', 0.4801411575786124), ('Average_Overlap_Ratio_no_offset', 0.5252947178380312), ('Onset_Precision', 0.4697147426392621), ('Onset_Recall', 0.8597647126594585), ('Onset_F-measure', 0.6013527696674632), ('Offset_Precision', 0.44179484507330397), ('Offset_Recall', 0.8160991795498306), ('Offset_F-measure', 0.5671989544550862)]
B1;1;[('Precision', 0.16062542620079243), ('Recall', 0.27103654326523247), ('F-measure', 0.1996127885585855), ('Average_Overlap_Ratio', 0.7824298149360194), ('Precision_no_offset', 0.3929347514788477), ('Recall_no_offset', 0.6739118199276747), ('F-measure_no_offset', 0.49154237862649813), ('Average_Overlap_Ratio_no_offset', 0.5354470633010084), ('Onset_Precision', 0.48508674916728106), ('Onset_Recall', 0.8344175223754139), ('Onset_F-measure', 0.6074133715209499), ('Offset_Precision', 0.4589322140569134), ('Offset_Recall', 0.7978082498463962), ('Offset_F-measure', 0.5765880392756636)]
B1;2;[('Precision', 0.15483450936548354), ('Recall', 0.2649006632995456), ('F-measure', 0.1935570667544235), ('Average_Overlap_Ratio', 0.7793917029342848), ('Precision_no_offset', 0.3858371731234639), ('Recall_no_offset', 0.6688608567908559), ('F-measure_no_offset', 0.48483567452993054), ('Average_Overlap_Ratio_no_offset', 0.5272045136227713), ('Onset_Precision', 0.4784285919768359), ('Onset_Recall', 0.8314864242132999), ('Onset_F-measure', 0.6016515972723534), ('Offset_Precision', 0.4568441835477799), ('Offset_Recall', 0.8014350609397172), ('Offset_F-measure', 0.5761846166911523)]
B1;3;[('Precision', 0.17223452050411162), ('Recall', 0.28081224643632025), ('F-measure', 0.21120376442915118), ('Average_Overlap_Ratio', 0.7828744612051642), ('Precision_no_offset', 0.4105614000697447), ('Recall_no_offset', 0.6825704525287514), ('F-measure_no_offset', 0.5074257007008606), ('Average_Overlap_Ratio_no_offset', 0.5381203927170557), ('Onset_Precision', 0.4986844567378846), ('Onset_Recall', 0.8324450891423427), ('Onset_F-measure', 0.6171954995131418), ('Offset_Precision', 0.469317653597581), ('Offset_Recall', 0.7932077814000453), ('Offset_F-measure', 0.5832350560012038)]
B1;4;[('Precision', 0.14577159538383805), ('Recall', 0.2632904818435151), ('F-measure', 0.1855515964521678), ('Average_Overlap_Ratio', 0.7847354465855286), ('Precision_no_offset', 0.36803063012401477), ('Recall_no_offset', 0.6780555938053758), ('F-measure_no_offset', 0.4721996750877234), ('Average_Overlap_Ratio_no_offset', 0.5301234791221621), ('Onset_Precision', 0.4625067771311845), ('Onset_Recall', 0.85637082427473), ('Onset_F-measure', 0.5944547122808715), ('Offset_Precision', 0.4354627783555827), ('Offset_Recall', 0.813598344449445), ('Offset_F-measure', 0.5612853095963075)]
B2;0;[('Precision', 0.14929639534352254), ('Recall', 0.27461748954734494), ('F-measure', 0.19140748802296856), ('Average_Overlap_Ratio', 0.7777279736088492), ('Precision_no_offset', 0.3619378738575633), ('Recall_no_offset', 0.6784785711525638), ('F-measure_no_offset', 0.46732160473760664), ('Average_Overlap_Ratio_no_offset', 0.5321061093205722), ('Onset_Precision', 0.45212060488190287), ('Onset_Recall', 0.8520563822731895), ('Onset_F-measure', 0.5847564338222738), ('Offset_Precision', 0.43012756968080706), ('Offset_Recall', 0.817578130914028), ('Offset_F-measure', 0.5577297922665168)]
B2;1;[('Precision', 0.148773988755137), ('Recall', 0.28256676326587127), ('F-measure', 0.19278919442132017), ('Average_Overlap_Ratio', 0.7789636714950405), ('Precision_no_offset', 0.3529759927712599), ('Recall_no_offset', 0.6850302413284657), ('F-measure_no_offset', 0.4610955483167325), ('Average_Overlap_Ratio_no_offset', 0.5314613360384767), ('Onset_Precision', 0.4419170436476777), ('Onset_Recall', 0.8630215624903197), ('Onset_F-measure', 0.5785011847036607), ('Offset_Precision', 0.4217089465190545), ('Offset_Recall', 0.8306278137098008), ('Offset_F-measure', 0.5534479801558684)]
B2;2;[('Precision', 0.14382300937493886), ('Recall', 0.2881753815640286), ('F-measure', 0.18993464782249883), ('Average_Overlap_Ratio', 0.7787865316752931), ('Precision_no_offset', 0.33990291240313625), ('Recall_no_offset', 0.6940465474162001), ('F-measure_no_offset', 0.45191008303598884), ('Average_Overlap_Ratio_no_offset', 0.5231979318369754), ('Onset_Precision', 0.42584618672609303), ('Onset_Recall', 0.8744982506589511), ('Onset_F-measure', 0.5671780909203343), ('Offset_Precision', 0.4062994799539569), ('Offset_Recall', 0.8408528730323817), ('Offset_F-measure', 0.5423414385705413)]
B2;3;[('Precision', 0.14548916628440958), ('Recall', 0.2801693102130482), ('F-measure', 0.18941099185315002), ('Average_Overlap_Ratio', 0.782034762145692), ('Precision_no_offset', 0.34966254769701854), ('Recall_no_offset', 0.6866055251193927), ('F-measure_no_offset', 0.4585223274297173), ('Average_Overlap_Ratio_no_offset', 0.5284769589339093), ('Onset_Precision', 0.43845119935613847), ('Onset_Recall', 0.8669446696147367), ('Onset_F-measure', 0.576247511550552), ('Offset_Precision', 0.4172305163395628), ('Offset_Recall', 0.8322486112376937), ('Offset_F-measure', 0.5497857537221348)]
B2;4;[('Precision', 0.15618927127218815), ('Recall', 0.28566262023019884), ('F-measure', 0.19994789026645848), ('Average_Overlap_Ratio', 0.7796442922127157), ('Precision_no_offset', 0.36271930481411646), ('Recall_no_offset', 0.6757308338142406), ('F-measure_no_offset', 0.4675747430113011), ('Average_Overlap_Ratio_no_offset', 0.5386017952793664), ('Onset_Precision', 0.4545953159526428), ('Onset_Recall', 0.851371702906574), ('Onset_F-measure', 0.5869975896073287), ('Offset_Precision', 0.43658087311241445), ('Offset_Recall', 0.8249888541907989), ('Offset_F-measure', 0.5652177482564082)]
