Model;Idx;Loss;Precision;Recall;AUC
B1;0;0.07881314;0.78375918;0.64733195;0.96402138
B1;1;0.07762939;0.79150349;0.64878488;0.96337813
B1;2;0.07845952;0.78071666;0.65894371;0.96347243
B1;3;0.07683717;0.79543537;0.65213519;0.96445304
B1;4;0.07899106;0.75749797;0.67797923;0.965168  
B2;0;0.07770965;0.76412672;0.68337852;0.96446365
B2;1;0.07866737;0.75869304;0.68566346;0.96353489
B2;2;0.07823592;0.75192171;0.69750488;0.96633202
B2;3;0.07644583;0.76188964;0.70320231;0.96613753
B2;4;0.07618947;0.77763307;0.68184912;0.96471399
A1;0;0.07994264;0.77690399;0.66576511;0.96047914
A1;1;0.08252142;0.74710506;0.67296284;0.9606424 
A1;2;0.08067904;0.74810249;0.68882281;0.96207619
A1;3;0.08076773;0.76398653;0.667826  ;0.96137202
A1;4;0.08236621;0.75918448;0.66578799;0.95933217
B3;0;0.07729865;0.76064622;0.69668907;0.96563011
B3;1;0.07828137;0.76609552;0.68572038;0.96285492
B3;2;0.07904535;0.75414991;0.69332945;0.96354979
B3;3;0.08108904;0.71978766;0.72089612;0.96484226
B3;4;0.07661425;0.76719427;0.69985235;0.96443969
A2;0;0.08775665;0.70152253;0.69236273;0.95993137
A2;1;0.08407609;0.73105824;0.68282312;0.96041417
A2;2;0.08173972;0.76171559;0.66070443;0.96036935
A2;3;0.08626183;0.72342926;0.68761873;0.95834589
A2;4;0.08883858;0.70180815;0.68835247;0.95854384
A3;0;0.08259893;0.75724643;0.67996925;0.95897555
A3;1;0.08392625;0.75109553;0.66767645;0.95862329
A3;2;0.08422129;0.73834485;0.68570083;0.95939517
A3;3;0.08537453;0.74438447;0.67119783;0.95697564
A3;4;0.08496528;0.73804116;0.67269444;0.95883477
D1;0;0.07770088;0.76563889;0.69514644;0.96311235
D1;1;0.07888331;0.7337532 ;0.72018188;0.96520549
D1;2;0.07796906;0.74077457;0.71801943;0.96527714
D1;3;0.07496738;0.77296937;0.70685679;0.96497393
D1;4;0.07588103;0.76608425;0.70704544;0.96483904
C1;0;0.08210409;0.73745245;0.70101368;0.96166736
C1;1;0.09064782;0.6876505 ;0.71730256;0.95849723
C1;2;0.08816963;0.69579405;0.70784271;0.96060181
C1;3;0.08368088;0.74061197;0.68595302;0.95961654
C1;4;0.08737078;0.70291996;0.69453847;0.95994014
D2;0;0.07874842;0.76013809;0.70198572;0.96184266
D2;1;0.07745788;0.75836176;0.71317452;0.96332353
D2;2;0.07869025;0.73950177;0.72265619;0.96397269
D2;3;0.07673285;0.76127476;0.71165138;0.96424735
D2;4;0.07892826;0.75244373;0.71717781;0.96200895
D3;0;0.07707486;0.76441842;0.71206045;0.96328413
D3;1;0.08264319;0.73953563;0.72136247;0.95988733
D3;2;0.07851548;0.77332568;0.70339495;0.96058589
D3;3;0.07901059;0.75426137;0.71264195;0.96152419
D3;4;0.08135311;0.74324661;0.71399164;0.96042365
C2;0;0.10310075;0.62707865;0.73189026;0.95589674
C2;1;0.095149  ;0.68040925;0.72233975;0.95562136
C2;2;0.09361524;0.68562609;0.70761371;0.95599192
C2;3;0.09143495;0.7012006 ;0.71216011;0.95660466
C2;4;0.08702971;0.72289246;0.69250077;0.95779991
C3;0;0.09031361;0.70266092;0.7119658 ;0.95747578
C3;1;0.09083177;0.72160351;0.69860333;0.95472813
C3;2;0.09758724;0.67634529;0.71378577;0.95404279
C3;3;0.09164252;0.71359521;0.69004864;0.95430416
C3;4;0.08897924;0.69991428;0.71178877;0.95915395
C4;0;0.09575713;0.69660598;0.71348727;0.95308012
C4;1;0.10054111;0.67559022;0.70733935;0.95077813
C4;2;0.09442161;0.70417559;0.70315599;0.95286316
C4;3;0.10238669;0.66177434;0.73069322;0.95209998
C4;4;0.10137412;0.6758402 ;0.71493453;0.95184475
