Model;Idx;Time
A1;0;[(1, 117.28268218040466), (2, 114.30688905715942), (3, 113.21475076675415), (4, 112.66907334327698), (5, 113.96896696090698), (6, 111.46165728569031), (7, 111.79884052276611), (8, 111.76487135887146), (9, 111.94861364364624), (10, 111.92536926269531), (11, 118.90316724777222), (12, 113.09512996673584), (13, 112.71870160102844), (14, 112.69847178459167), (15, 113.2636365890503), (16, 111.80157113075256), (17, 111.89204716682434), (18, 113.79219079017639), (19, 113.5033209323883), (20, 115.06554126739502), (21, 112.86579728126526), (22, 113.24722623825073), (23, 112.59640264511108), (24, 111.238516330719), (25, 112.15292954444885), (26, 113.07404017448425), (27, 112.25891280174255), (28, 113.90028858184814), (29, 114.78399848937988), (30, 112.84884881973267), (31, 113.11182570457458), (32, 112.14818406105042), (33, 112.53440952301025), (34, 112.38838410377502), (35, 112.86010479927063), (36, 112.34503889083862)]
A1;1;[(1, 118.73794364929199), (2, 111.82115864753723), (3, 112.39936590194702), (4, 112.51787519454956), (5, 110.66685557365417), (6, 111.98054790496826), (7, 110.1480484008789), (8, 111.77756023406982), (9, 112.65993976593018), (10, 114.77698016166687), (11, 116.63217830657959), (12, 111.18729734420776), (13, 112.1422688961029), (14, 112.18539381027222), (15, 112.11109972000122), (16, 112.70636010169983), (17, 110.81516408920288), (18, 114.57530522346497), (19, 113.03795742988586), (20, 111.53095722198486), (21, 111.4189658164978), (22, 110.89241981506348)]
A1;2;[(1, 122.57190418243408), (2, 111.41981434822083), (3, 110.67568826675415), (4, 111.46379160881042), (5, 112.4766755104065), (6, 110.97889947891235), (7, 109.89247679710388), (8, 111.00969243049622), (9, 109.76741790771484), (10, 108.85370135307312), (11, 112.3384907245636), (12, 107.20952463150024), (13, 107.57346248626709), (14, 107.74074912071228), (15, 107.81533360481262), (16, 108.85625100135803), (17, 109.10019540786743), (18, 108.44897079467773), (19, 109.21070194244385), (20, 109.70310568809509), (21, 108.38114857673645), (22, 108.28956961631775), (23, 107.45808267593384), (24, 107.95954203605652), (25, 109.79599976539612)]
A1;3;[(1, 112.12452936172485), (2, 108.51800513267517), (3, 107.66586756706238), (4, 107.91528248786926), (5, 107.65209031105042), (6, 108.09538388252258), (7, 108.21279549598694), (8, 108.02524328231812), (9, 107.36911988258362), (10, 108.57594633102417), (11, 112.14552450180054), (12, 109.1630790233612), (13, 108.49349021911621), (14, 109.14828991889954), (15, 108.22252941131592), (16, 108.59394645690918), (17, 108.48429727554321), (18, 110.57711553573608), (19, 107.18683385848999), (20, 107.00214290618896), (21, 107.3186264038086), (22, 107.59006810188293), (23, 106.93367052078247), (24, 107.5670416355133), (25, 107.93957138061523)]
A1;4;[(1, 113.45409178733826), (2, 108.67618918418884), (3, 109.58828258514404), (4, 109.61295557022095), (5, 109.20093131065369), (6, 110.498215675354), (7, 108.28287506103516), (8, 109.79266691207886), (9, 110.6614601612091), (10, 108.51903581619263), (11, 114.04289817810059), (12, 109.71070766448975), (13, 109.44359421730042), (14, 109.34467315673828), (15, 109.1368727684021), (16, 109.36523795127869), (17, 108.96335077285767), (18, 108.47958588600159), (19, 109.9940435886383), (20, 110.34545230865479), (21, 110.44654607772827), (22, 109.3962013721466), (23, 111.38812804222107), (24, 108.9877450466156), (25, 108.9456045627594), (26, 109.57223272323608), (27, 111.2571268081665), (28, 110.11746025085449), (29, 109.38704824447632), (30, 109.86856150627136), (31, 109.67284274101257), (32, 105.8532509803772), (33, 105.14524912834167), (34, 105.69714331626892), (35, 105.79785537719727), (36, 106.5828263759613)]
B3;0;[(1, 193.5901324748993), (2, 179.5444257259369), (3, 179.34083700180054), (4, 179.24317002296448), (5, 179.6226408481598), (6, 177.7583930492401), (7, 176.40715956687927), (8, 177.4759705066681), (9, 177.0929684638977), (10, 176.78704404830933), (11, 181.4982876777649), (12, 176.74866914749146), (13, 178.21793723106384), (14, 177.1175980567932), (15, 177.17781019210815), (16, 176.82442927360535), (17, 177.4967486858368), (18, 177.252094745636), (19, 176.99873757362366), (20, 176.90120482444763), (21, 177.10049200057983), (22, 177.57649207115173)]
B3;1;[(1, 183.08734345436096), (2, 179.23681235313416), (3, 178.80538296699524), (4, 178.90641379356384), (5, 179.39479899406433), (6, 179.38146829605103), (7, 179.3703384399414), (8, 179.49984502792358), (9, 179.0532431602478), (10, 179.32050704956055), (11, 182.71468234062195), (12, 179.39923787117004), (13, 180.75400519371033), (14, 196.71567606925964), (15, 179.37089920043945), (16, 180.38754630088806), (17, 179.354887008667), (18, 179.3702096939087), (19, 178.7138421535492), (20, 178.73641848564148), (21, 179.26647186279297), (22, 179.7857735157013), (23, 179.6802396774292), (24, 179.31827545166016)]
B3;2;[(1, 182.15326070785522), (2, 177.5563611984253), (3, 177.2369225025177), (4, 177.76031494140625), (5, 177.38777685165405), (6, 178.13675332069397), (7, 177.38818407058716), (8, 177.7968819141388), (9, 177.66018676757812), (10, 177.32685494422913), (11, 181.79189038276672), (12, 177.33437609672546), (13, 178.4404809474945), (14, 191.67865586280823), (15, 191.48789358139038), (16, 191.03289532661438), (17, 188.1925356388092), (18, 189.0978627204895), (19, 190.10413694381714), (20, 184.19276666641235), (21, 183.16470289230347), (22, 183.45956230163574), (23, 182.73846745491028), (24, 182.459490776062), (25, 183.0878233909607), (26, 183.05119633674622)]
B3;3;[(1, 187.9948513507843), (2, 183.4187159538269), (3, 183.76582717895508), (4, 184.64310669898987), (5, 183.308828830719), (6, 183.53188848495483), (7, 183.52631759643555), (8, 183.44751286506653), (9, 183.65890741348267), (10, 185.3232924938202), (11, 188.0709719657898), (12, 183.63065361976624), (13, 183.8983211517334), (14, 184.1586754322052), (15, 184.14096093177795), (16, 184.22382044792175), (17, 184.00228834152222), (18, 184.0937888622284), (19, 185.7301950454712), (20, 184.1977460384369), (21, 183.32324051856995), (22, 183.70418858528137), (23, 185.23816514015198), (24, 181.1557400226593)]
B3;4;[(1, 189.83125758171082), (2, 178.8130166530609), (3, 178.90184235572815), (4, 178.47968578338623), (5, 178.8344657421112), (6, 178.9282820224762), (7, 179.42111086845398), (8, 182.41664218902588), (9, 181.17204642295837), (10, 180.59944248199463), (11, 184.81983017921448), (12, 181.5480136871338), (13, 179.26878762245178), (14, 179.5344536304474), (15, 179.78469252586365), (16, 179.15773153305054), (17, 178.36871218681335), (18, 179.04173469543457), (19, 182.11918210983276), (20, 181.25657057762146), (21, 180.22543358802795), (22, 179.85933113098145), (23, 178.383216381073), (24, 180.56215476989746), (25, 180.06030249595642), (26, 180.65051674842834), (27, 181.6582748889923), (28, 179.15426349639893), (29, 181.10637044906616), (30, 180.18180465698242)]
