Model;Idx;Time
C1;0;[(1, 128.48317623138428), (2, 122.71726298332214), (3, 123.54099750518799), (4, 123.34948492050171), (5, 123.03689336776733), (6, 123.07334518432617), (7, 123.14023113250732), (8, 123.26851558685303), (9, 122.85930037498474), (10, 122.16462278366089), (11, 127.12661051750183), (12, 124.59946513175964), (13, 122.88632941246033), (14, 122.99219274520874), (15, 127.48123002052307), (16, 131.38570737838745), (17, 131.37702918052673), (18, 130.95500254631042), (19, 127.30278825759888), (20, 128.33980345726013), (21, 128.6806721687317), (22, 128.73085522651672), (23, 126.84796357154846), (24, 128.24110746383667)]
C1;1;[(1, 131.5320200920105), (2, 127.72489595413208), (3, 128.30402851104736), (4, 128.56642889976501), (5, 128.1056489944458), (6, 128.15575194358826), (7, 128.06372594833374), (8, 127.42742085456848), (9, 127.20779085159302), (10, 127.93373489379883), (11, 131.95932984352112), (12, 127.49767279624939), (13, 126.64399361610413), (14, 127.84345984458923), (15, 126.37278485298157), (16, 126.36626768112183), (17, 126.51222133636475), (18, 126.36379718780518), (19, 126.48839926719666), (20, 123.76354002952576), (21, 127.19740843772888), (22, 126.60185933113098), (23, 126.35412859916687), (24, 126.4672200679779), (25, 126.36905241012573), (26, 127.01488137245178), (27, 126.47367024421692), (28, 127.1125545501709), (29, 127.55205988883972), (30, 126.7489902973175)]
C1;2;[(1, 135.61164689064026), (2, 125.47114133834839), (3, 126.1079888343811), (4, 125.72439885139465), (5, 125.99236249923706), (6, 126.30247640609741), (7, 126.46451592445374), (8, 126.24999046325684), (9, 126.04387974739075), (10, 125.43239140510559), (11, 130.02559518814087), (12, 125.55268621444702), (13, 125.41746497154236), (14, 125.54500699043274), (15, 125.89573979377747), (16, 125.04089665412903), (17, 125.49857020378113), (18, 125.31614923477173), (19, 125.14359140396118), (20, 125.18092441558838), (21, 124.38079524040222), (22, 124.72040605545044), (23, 125.07302045822144), (24, 124.26007866859436), (25, 124.32482147216797), (26, 124.35148549079895), (27, 124.71186232566833), (28, 125.12814927101135), (29, 124.84903311729431), (30, 125.14954686164856), (31, 125.16500973701477), (32, 124.93122720718384), (33, 124.89187932014465)]
C1;3;[(1, 131.30736684799194), (2, 125.60114336013794), (3, 125.78129196166992), (4, 125.53749012947083), (5, 125.79866600036621), (6, 125.09296226501465), (7, 118.65516829490662), (8, 120.28030586242676), (9, 122.1822121143341), (10, 120.5851559638977), (11, 124.66597533226013), (12, 121.4117066860199), (13, 122.21025490760803), (14, 121.34557127952576), (15, 120.90812277793884), (16, 121.35068678855896), (17, 122.35803174972534), (18, 119.05163168907166), (19, 121.01549172401428), (20, 122.52596688270569), (21, 122.50727772712708), (22, 121.82329654693604), (23, 122.2505738735199), (24, 121.88506484031677)]
C1;4;[(1, 128.7030851840973), (2, 120.27597093582153), (3, 121.61489963531494), (4, 121.34907412528992), (5, 120.5287835597992), (6, 120.00791835784912), (7, 122.14619874954224), (8, 120.66763973236084), (9, 121.02090525627136), (10, 120.02802181243896), (11, 124.46582412719727), (12, 120.26318836212158), (13, 120.07850360870361), (14, 119.665771484375), (15, 119.72482347488403), (16, 121.14150142669678), (17, 120.7608208656311), (18, 122.30500173568726), (19, 121.57864737510681), (20, 154.43468475341797), (21, 120.24790048599243), (22, 123.19628429412842), (23, 120.30669403076172), (24, 121.92746949195862), (25, 121.57704496383667), (26, 120.74672555923462), (27, 121.20102763175964), (28, 121.45005178451538), (29, 120.84050726890564), (30, 120.75161719322205), (31, 119.75607252120972), (32, 121.00117135047913), (33, 121.71017336845398), (34, 121.48653030395508), (35, 121.05112743377686), (36, 121.59391617774963), (37, 121.00008893013), (38, 121.48328042030334), (39, 120.91359257698059), (40, 121.645920753479), (41, 121.83095693588257)]
D2;0;[(1, 223.98299741744995), (2, 198.64595818519592), (3, 198.62151503562927), (4, 198.33694171905518), (5, 197.56180953979492), (6, 198.0398006439209), (7, 197.09439706802368), (8, 189.42278504371643), (9, 191.29456877708435), (10, 190.86241102218628), (11, 193.40296506881714), (12, 189.2424099445343), (13, 191.26436018943787), (14, 191.30155205726624), (15, 190.98649954795837), (16, 191.43315863609314), (17, 192.25843739509583), (18, 191.52074527740479), (19, 191.54783391952515), (20, 192.24943614006042), (21, 192.0330548286438), (22, 191.49101853370667)]
D2;1;[(1, 193.75379729270935), (2, 188.2776472568512), (3, 188.35807871818542), (4, 190.6484076976776), (5, 188.80381751060486), (6, 190.32934308052063), (7, 190.1498806476593), (8, 190.9658510684967), (9, 193.19801020622253), (10, 193.46829319000244), (11, 194.93798875808716), (12, 192.43029880523682), (13, 188.66144227981567), (14, 189.9284040927887), (15, 199.66304969787598), (16, 203.55463528633118), (17, 202.97756338119507), (18, 203.01559829711914), (19, 203.93944215774536), (20, 206.22204732894897), (21, 204.41284775733948), (22, 204.18258833885193), (23, 205.31528401374817), (24, 202.96559929847717), (25, 202.70754885673523), (26, 204.08327388763428), (27, 204.10883474349976), (28, 203.07782411575317), (29, 204.16525077819824), (30, 204.62182712554932)]
D2;2;[(1, 211.5538489818573), (2, 202.67989659309387), (3, 203.85435557365417), (4, 207.80064511299133), (5, 206.01246643066406), (6, 234.00208234786987), (7, 208.46448469161987), (8, 206.89525961875916), (9, 208.6383512020111), (10, 238.89130449295044), (11, 210.84708166122437), (12, 206.53592538833618), (13, 207.47497463226318), (14, 204.3005886077881), (15, 207.00351572036743), (16, 209.51049494743347), (17, 206.5379765033722), (18, 206.5201392173767), (19, 205.00315380096436), (20, 206.06993794441223), (21, 206.40032410621643), (22, 202.98166871070862), (23, 203.02939796447754)]
D2;3;[(1, 213.17764472961426), (2, 203.70397567749023), (3, 202.29952383041382), (4, 201.7108108997345), (5, 200.97551369667053), (6, 200.24310898780823), (7, 200.82999658584595), (8, 200.13362574577332), (9, 199.31340646743774), (10, 198.5278604030609), (11, 205.09467768669128), (12, 200.07206058502197), (13, 200.11403822898865), (14, 198.9725935459137), (15, 201.5017077922821), (16, 202.22231364250183), (17, 202.10151863098145), (18, 201.68602919578552), (19, 199.4778995513916), (20, 200.9838182926178), (21, 198.6178560256958), (22, 199.4513235092163), (23, 200.3935558795929), (24, 200.86527299880981), (25, 200.17643547058105), (26, 198.2420196533203), (27, 199.5703001022339), (28, 200.57071232795715), (29, 200.61787867546082), (30, 199.46980023384094), (31, 198.94643831253052), (32, 200.15992760658264), (33, 200.07794165611267), (34, 199.46955275535583), (35, 200.91160202026367)]
D2;4;[(1, 204.14911437034607), (2, 200.03666162490845), (3, 200.58154201507568), (4, 200.42532920837402), (5, 200.98517608642578), (6, 201.17463731765747), (7, 201.14392399787903), (8, 200.52579283714294), (9, 199.76036739349365), (10, 201.1513214111328), (11, 205.0925931930542), (12, 198.10900807380676), (13, 199.62812876701355), (14, 200.26663756370544), (15, 201.41322255134583), (16, 199.63309741020203), (17, 201.52108359336853), (18, 200.55354142189026), (19, 200.4293918609619), (20, 201.69663453102112), (21, 200.8215208053589), (22, 199.93892407417297), (23, 198.45323586463928), (24, 198.8707983493805), (25, 199.50481486320496), (26, 202.28658604621887), (27, 200.1491870880127), (28, 200.46245765686035), (29, 199.4947690963745)]
D3;0;[(1, 276.25626945495605), (2, 260.47746896743774), (3, 261.22800636291504), (4, 262.5809371471405), (5, 265.2780005931854), (6, 261.3200206756592), (7, 261.07270789146423), (8, 255.13840079307556), (9, 255.4877336025238), (10, 254.9511513710022), (11, 258.4617507457733), (12, 253.8437523841858), (13, 255.3518829345703), (14, 253.01730275154114), (15, 255.3263819217682), (16, 253.9871518611908), (17, 254.56109309196472), (18, 254.56829261779785), (19, 254.16987013816833), (20, 253.91963362693787), (21, 254.78253078460693), (22, 254.4385585784912), (23, 253.44217658042908), (24, 254.4775550365448), (25, 253.9646942615509), (26, 253.98610949516296), (27, 255.04795908927917), (28, 254.71094155311584)]
D3;1;[(1, 262.57059597969055), (2, 256.1998522281647), (3, 257.145699262619), (4, 254.4019477367401), (5, 254.4273054599762), (6, 256.8342218399048), (7, 255.5887200832367), (8, 254.66776990890503), (9, 254.70552110671997), (10, 254.7582290172577), (11, 258.4688642024994), (12, 254.6228699684143), (13, 254.34880375862122), (14, 254.2985863685608), (15, 251.95021557807922), (16, 253.2116436958313), (17, 253.98233127593994), (18, 254.06447291374207), (19, 253.61424660682678), (20, 253.99331426620483), (21, 253.4277138710022), (22, 253.9263641834259), (23, 252.4502272605896), (24, 253.118549823761)]
D3;2;[(1, 261.38883090019226), (2, 251.69248914718628), (3, 252.98654794692993), (4, 252.22918963432312), (5, 253.12551641464233), (6, 250.951420545578), (7, 250.41467666625977), (8, 250.02075147628784), (9, 250.1583127975464), (10, 249.7837357521057), (11, 255.1484625339508), (12, 250.6206018924713), (13, 251.16522693634033), (14, 251.10596799850464), (15, 249.8967707157135), (16, 250.2959861755371), (17, 251.53519344329834), (18, 250.68055605888367), (19, 250.44795775413513), (20, 251.23308992385864), (21, 250.9922332763672), (22, 252.5339162349701)]
D3;3;[(1, 255.5383801460266), (2, 250.955735206604), (3, 251.49687385559082), (4, 251.0542802810669), (5, 251.911518573761), (6, 252.38417148590088), (7, 251.99544548988342), (8, 250.63236117362976), (9, 251.46898317337036), (10, 251.03746485710144), (11, 255.4163691997528), (12, 249.2705774307251), (13, 249.55486536026), (14, 311.36080956459045), (15, 358.78008580207825), (16, 363.19308733940125), (17, 356.173269033432), (18, 349.7393698692322), (19, 299.00197982788086), (20, 288.855473279953), (21, 261.7749125957489)]
D3;4;[(1, 259.8743505477905), (2, 259.2306716442108), (3, 262.67184925079346), (4, 259.8123788833618), (5, 265.85474729537964), (6, 271.1070189476013), (7, 269.62079787254333), (8, 284.74124932289124), (9, 322.6767506599426), (10, 359.54690194129944), (11, 373.9842457771301), (12, 305.9024398326874), (13, 302.59448051452637), (14, 318.3831362724304), (15, 319.97732496261597), (16, 271.2709996700287), (17, 255.91863632202148), (18, 256.4542417526245), (19, 259.14915323257446), (20, 257.883868932724), (21, 256.00909399986267), (22, 255.18048977851868), (23, 255.77273559570312), (24, 257.30483651161194)]
C2;0;[(1, 146.622154712677), (2, 140.61962962150574), (3, 141.34155178070068), (4, 141.84736466407776), (5, 141.21926164627075), (6, 141.0888261795044), (7, 141.85729312896729), (8, 142.04141974449158), (9, 141.62324261665344), (10, 140.90031814575195), (11, 145.8997712135315), (12, 141.70567274093628), (13, 141.71897077560425), (14, 141.67656230926514), (15, 141.22359251976013), (16, 142.70835709571838), (17, 141.64444041252136), (18, 141.54802060127258), (19, 141.425537109375), (20, 141.10655522346497), (21, 141.52287554740906), (22, 140.62336492538452), (23, 141.8008804321289), (24, 141.37399172782898), (25, 140.23057508468628), (26, 141.26435542106628), (27, 141.17352104187012), (28, 141.37978506088257)]
C2;1;[(1, 155.0981903076172), (2, 140.5704219341278), (3, 139.74909782409668), (4, 141.219313621521), (5, 139.61296820640564), (6, 141.19110751152039), (7, 140.33929252624512), (8, 140.8902072906494), (9, 141.825092792511), (10, 140.0481071472168), (11, 144.9337306022644), (12, 139.77385592460632), (13, 141.40455794334412), (14, 139.78006100654602), (15, 140.19610738754272), (16, 140.36297702789307), (17, 138.7364377975464), (18, 139.6534242630005), (19, 139.69573950767517), (20, 141.0095555782318), (21, 139.847806930542), (22, 140.3380196094513), (23, 139.92815256118774), (24, 140.40710711479187), (25, 139.82374215126038), (26, 140.40213012695312), (27, 146.6399803161621), (28, 145.66739678382874)]
C2;2;[(1, 155.02136707305908), (2, 149.11507201194763), (3, 148.42846250534058), (4, 153.28423166275024), (5, 149.91679573059082), (6, 151.3830018043518), (7, 152.4468207359314), (8, 150.3860890865326), (9, 152.7810456752777), (10, 148.36113595962524), (11, 145.81963443756104), (12, 142.62766361236572), (13, 140.92754554748535), (14, 141.50348544120789), (15, 144.91052103042603), (16, 141.36059498786926), (17, 142.38579392433167), (18, 142.13162422180176), (19, 142.27718830108643), (20, 142.76172828674316), (21, 141.79309797286987), (22, 142.72344493865967), (23, 140.99875497817993), (24, 141.30423259735107), (25, 141.39103722572327), (26, 140.8603789806366), (27, 141.8463282585144), (28, 149.76875400543213), (29, 152.02544569969177)]
C2;3;[(1, 163.56453728675842), (2, 153.81158781051636), (3, 152.53096532821655), (4, 153.98588299751282), (5, 153.02771258354187), (6, 152.4728124141693), (7, 153.03761053085327), (8, 153.57554030418396), (9, 152.9978370666504), (10, 150.04193091392517), (11, 148.1418423652649), (12, 143.65877294540405), (13, 145.8135528564453), (14, 143.70065140724182), (15, 143.1885862350464), (16, 143.41664171218872), (17, 142.63554978370667), (18, 143.65194249153137), (19, 144.02922129631042), (20, 144.16862654685974), (21, 143.81109046936035)]
C2;4;[(1, 146.08079886436462), (2, 140.68183422088623), (3, 140.61368680000305), (4, 140.4008297920227), (5, 140.99890398979187), (6, 142.05855560302734), (7, 142.05169320106506), (8, 141.6207354068756), (9, 142.26522088050842), (10, 142.0647792816162), (11, 147.36741948127747), (12, 141.84974694252014), (13, 141.54471063613892), (14, 142.3029797077179), (15, 142.89294242858887), (16, 142.43093013763428), (17, 144.5215036869049), (18, 143.0203926563263), (19, 142.4529800415039), (20, 141.68527150154114), (21, 142.40660095214844), (22, 141.51010465621948), (23, 141.63830733299255), (24, 142.38184070587158), (25, 141.59216499328613), (26, 141.4056041240692), (27, 141.85466384887695), (28, 141.75206637382507), (29, 142.8328995704651), (30, 143.00273156166077), (31, 143.26628351211548), (32, 142.34685015678406), (33, 141.5053939819336), (34, 142.26003575325012)]
C3;0;[(1, 162.52738332748413), (2, 152.5700330734253), (3, 152.98867559432983), (4, 153.58999037742615), (5, 153.27413153648376), (6, 153.96966767311096), (7, 154.07105946540833), (8, 157.80146074295044), (9, 158.70866298675537), (10, 157.4158811569214), (11, 164.59040451049805), (12, 157.491215467453), (13, 157.77673316001892), (14, 157.96025943756104), (15, 159.8561658859253), (16, 158.09911251068115), (17, 158.9593071937561), (18, 159.60121250152588), (19, 154.85288786888123), (20, 153.85231685638428), (21, 153.8070216178894), (22, 152.95033502578735), (23, 155.31170630455017)]
C3;1;[(1, 162.00308513641357), (2, 155.69257521629333), (3, 156.5243468284607), (4, 156.01039624214172), (5, 156.45474886894226), (6, 155.5012664794922), (7, 156.41121816635132), (8, 157.5461266040802), (9, 157.8789143562317), (10, 156.1413381099701), (11, 160.59220600128174), (12, 155.98608088493347), (13, 155.96961975097656), (14, 155.8602156639099), (15, 156.52985382080078), (16, 156.40789246559143), (17, 156.92004656791687), (18, 156.4138822555542), (19, 156.2961916923523), (20, 156.42069911956787), (21, 156.16165494918823), (22, 157.7155978679657), (23, 156.6162760257721), (24, 156.1665382385254), (25, 156.70772314071655), (26, 155.72665905952454), (27, 157.80926036834717), (28, 159.14868211746216), (29, 162.01776599884033), (30, 161.4543855190277), (31, 162.4693205356598), (32, 161.42610812187195), (33, 164.08730125427246), (34, 162.3498649597168), (35, 161.0510802268982), (36, 161.90846610069275), (37, 161.53211951255798), (38, 163.58929347991943), (39, 163.93808937072754), (40, 162.65172815322876)]
C3;2;[(1, 165.58515167236328), (2, 160.58695006370544), (3, 163.8435823917389), (4, 164.66612267494202), (5, 164.95391988754272), (6, 161.58708572387695), (7, 162.19997000694275), (8, 162.84233784675598), (9, 162.60618662834167), (10, 160.93272161483765), (11, 166.58787083625793), (12, 161.2175314426422), (13, 161.21852922439575), (14, 160.62650632858276), (15, 161.64428901672363), (16, 161.10534143447876), (17, 161.63606762886047), (18, 163.44302129745483), (19, 165.14078068733215), (20, 162.94591069221497), (21, 161.71753239631653), (22, 159.71326446533203), (23, 158.58657431602478), (24, 159.2590308189392), (25, 159.21871733665466), (26, 158.65175676345825), (27, 157.93662476539612), (28, 158.8578724861145), (29, 158.91983675956726), (30, 160.80957102775574), (31, 161.998202085495), (32, 164.4307188987732), (33, 162.53547644615173)]
C3;3;[(1, 204.1622669696808), (2, 197.64258122444153), (3, 189.83804059028625), (4, 183.69249057769775), (5, 188.6399703025818), (6, 191.61230778694153), (7, 200.54616975784302), (8, 209.29353737831116), (9, 205.16182780265808), (10, 199.67329931259155), (11, 199.73328948020935), (12, 172.071275472641), (13, 163.98183798789978), (14, 163.24519848823547), (15, 163.47302293777466), (16, 163.47091817855835), (17, 162.46462869644165), (18, 161.87297320365906), (19, 160.6484444141388), (20, 162.00770235061646), (21, 159.95718502998352), (22, 159.77166175842285), (23, 160.68813729286194), (24, 159.60114765167236), (25, 159.95005011558533)]
C3;4;[(1, 164.5034966468811), (2, 161.37063694000244), (3, 160.57457327842712), (4, 159.59165811538696), (5, 159.48259711265564), (6, 158.07099604606628), (7, 158.48762226104736), (8, 162.3034610748291), (9, 166.23265314102173), (10, 165.74469017982483), (11, 169.16315126419067), (12, 164.57991456985474), (13, 164.16254258155823), (14, 164.92081332206726), (15, 163.20410060882568), (16, 164.5373775959015), (17, 163.8998475074768), (18, 164.34595227241516), (19, 166.14621472358704), (20, 165.67613410949707), (21, 164.6803753376007), (22, 166.16882944107056), (23, 165.15699887275696), (24, 164.8376088142395), (25, 165.31996512413025), (26, 166.20538997650146)]
C4;0;[(1, 181.04788756370544), (2, 169.28136587142944), (3, 171.00448083877563), (4, 168.85624384880066), (5, 170.23754930496216), (6, 169.67338705062866), (7, 170.21817278862), (8, 168.1290910243988), (9, 169.40772938728333), (10, 168.68910908699036), (11, 175.10784220695496), (12, 172.03081250190735), (13, 171.53440141677856), (14, 170.4275062084198), (15, 170.632670879364), (16, 169.73334622383118), (17, 171.17621040344238), (18, 171.63679575920105), (19, 170.43062210083008), (20, 169.73165011405945), (21, 168.2739293575287)]
C4;1;[(1, 178.19881296157837), (2, 171.97355151176453), (3, 170.6960802078247), (4, 171.42856121063232), (5, 170.13698291778564), (6, 170.22482252120972), (7, 169.66065430641174), (8, 170.64510869979858), (9, 168.30527901649475), (10, 170.1003062725067), (11, 175.0062608718872), (12, 169.75860500335693), (13, 170.1473889350891), (14, 169.2079815864563), (15, 171.0299973487854), (16, 169.68090510368347), (17, 169.69384050369263), (18, 170.11369395256042), (19, 169.41340017318726), (20, 169.80782270431519), (21, 169.9435112476349), (22, 167.76400470733643), (23, 168.9280228614807), (24, 170.54624938964844), (25, 168.830664396286)]
C4;2;[(1, 174.1934413909912), (2, 171.00968599319458), (3, 169.1619131565094), (4, 170.6840901374817), (5, 169.9319188594818), (6, 170.30220675468445), (7, 171.70836544036865), (8, 170.1863977909088), (9, 171.35971188545227), (10, 170.585515499115), (11, 177.1414897441864), (12, 171.0519745349884), (13, 169.9373574256897), (14, 169.98954105377197), (15, 170.82061076164246), (16, 170.5427017211914), (17, 182.63782787322998), (18, 170.56718826293945), (19, 170.70750880241394), (20, 170.77464032173157), (21, 171.85828614234924), (22, 171.00146055221558), (23, 170.26125717163086), (24, 170.9136233329773), (25, 171.08574557304382), (26, 171.06081295013428)]
C4;3;[(1, 172.88453722000122), (2, 170.6923017501831), (3, 170.5487780570984), (4, 170.42628240585327), (5, 168.8041319847107), (6, 171.18447637557983), (7, 172.02806162834167), (8, 169.4457585811615), (9, 169.2336184978485), (10, 169.1159851551056), (11, 173.46159029006958), (12, 169.6177020072937), (13, 168.23147296905518), (14, 168.85034823417664), (15, 168.11598372459412), (16, 167.5827932357788), (17, 165.7461061477661), (18, 168.506769657135), (19, 167.43294310569763), (20, 166.0894491672516), (21, 167.58399939537048), (22, 168.1317915916443), (23, 168.10128474235535), (24, 167.9892807006836), (25, 168.610169172287), (26, 167.50805473327637), (27, 168.09722256660461), (28, 166.84252190589905)]
C4;4;[(1, 174.01508831977844), (2, 169.54149389266968), (3, 168.69296884536743), (4, 169.66573429107666), (5, 169.34818720817566), (6, 169.21275448799133), (7, 171.0229036808014), (8, 168.17695832252502), (9, 169.1120593547821), (10, 168.5918984413147), (11, 174.62951040267944), (12, 169.4910969734192), (13, 170.17465901374817), (14, 169.21184706687927), (15, 171.09484696388245), (16, 168.89188766479492), (17, 170.08254170417786), (18, 167.90241622924805), (19, 170.57053995132446), (20, 168.64258193969727), (21, 164.97953295707703), (22, 163.93072652816772), (23, 164.0219211578369), (24, 164.76844096183777), (25, 165.8902907371521), (26, 164.60467910766602)]
